,score
1183,-31.5
1184,11.0
1185,-30.5
1186,-20.0
1187,-3.5
1188,-17.0
1189,2.0
1190,-10.0
1191,-54.5
1192,-32.0
1193,5.5
1194,13.5
1195,-15.5
1196,-11.0
1197,-27.5
1198,-7.0
1199,-27.5
1200,-27.0
1201,-29.0
1202,4.5
1203,-29.0
1204,-66.0
1205,-12.0
1206,-12.0
1207,-33.5
1208,-25.5
1209,-31.0
1210,-23.5
1211,-35.5
1212,-12.0
1213,-37.5
1214,-33.0
1215,15.0
1216,-43.5
1217,-40.5
1218,-46.5
1219,-42.5
1220,-24.5
1221,3.0
1222,-23.5
1223,-10.5
1224,-42.5
1225,40.5
1226,-7.5
1227,-49.5
1228,-21.5
1229,-5.0
1230,-0.5
1231,-33.5
1232,-42.0
1233,-41.5
1234,-26.0
1235,-25.5
1236,-39.0
1237,-23.5
1238,-18.5
1239,4.0
1240,12.0
1241,-32.5
1242,-29.0
1243,-70.5
1244,-9.5
1245,-39.5
1246,-33.5
1247,7.0
1248,-3.5
1249,-32.5
1250,-19.5
1251,17.5
1252,1.5
1253,-16.0
1254,-27.0
1255,-13.5
1256,-14.0
1257,-25.5
1258,-47.0
1259,-16.0
1260,-20.0
1261,-37.5
1262,-32.0
1263,-22.0
1264,5.0
1265,-41.5
1266,-28.5
1267,-33.5
1268,17.0
1269,-35.0
1270,-38.0
1271,-57.5
1272,-36.0
1273,-29.0
1274,-3.5
1275,29.0
1276,-7.5
1277,4.5
1278,-20.5
1279,0.5
1280,-46.0
1281,-27.5
1282,-31.5
1283,19.5
1284,-16.0
1285,-30.0
1286,-8.5
1287,-41.0
1288,-7.5
1289,-7.0
1290,-51.5
1291,-19.5
1292,-4.0
1293,-36.5
1294,-1.5
1295,-17.0
1296,-14.5
1297,-64.0
1298,-25.5
1299,-68.0
1300,-22.0
1301,-18.0
1302,-22.5
1303,-7.0
1304,3.0
1305,-11.0
1306,-47.5
1307,-57.0
1308,-0.5
1309,-53.0
1310,-30.0
1311,-18.5
1312,-20.0
1313,-8.5
1314,5.5
1315,39.0
1316,-50.0
1317,-8.5
1318,-11.5
1319,-4.0
1320,8.5
